						
Восточный клуб, центр реабилитации и развития человека	Фитнес-клубы | Тренажёрные залы | Бассейны | Центры раннего развития детей | Обучение танцам	г. Уфа	Юрия Гагарина, 29/1	https://vk.com/vostokclub	 +7 (347) 236-67-91;+7 (347) 244-44-15;+7 (347) 244-44-25	Октябрьский район
OLYMPIA, фитнес-клуб	Фитнес-клубы | Услуги массажиста | Студии загара | Тренажёрные залы | Обучение танцам	г. Уфа	Ибрагимова бульвар, 88	https://vk.com/olympiafitufa	 +7 (347) 292-04-04	Советский район
МетроFitness, сеть спорт-клубов	Фитнес-клубы | Тренажёрные залы | Центры йоги | Обучение танцам | Спортивные секции	г. Уфа	Юрия Гагарина, 1/3	https://vk.com/ufametrofitness	 +7 (347) 257-78-77	Октябрьский район
Fitness Land, фитнес-клуб	Фитнес-клубы | Тренажёрные залы | Центры йоги | Обучение танцам	г. Уфа	Пархоменко, 156/3	https://vk.com/fitnesslandclub	 +7 (347) 292-44-66	Советский район
Оранж Аква Кидс, клуб для детей	Спортивные секции | Бассейны | Центры раннего развития детей | Обучение танцам | Организация и проведение праздников	г. Уфа	Софьи Перовской, 13/3	https://vk.com/orangeaquakids	 +7 (347) 256-05-61;+7 (347) 256-06-25; +7-987-256-38-18	Кировский район
El Ritmo, студия танца	Обучение танцам	г. Уфа	Коммунистическая, 45/3	https://vk.com/club_elritmo	 +7-909-349-03-59	Ленинский район
Элита, фитнес-клуб	Фитнес-клубы | Тренажёрные залы | Студии загара | Услуги массажиста | Обучение танцам	г. Уфа	Октября проспект, 78/3	https://vk.com/elitafitness	 +7 (347) 232-37-37;+7 (347) 275-05-95; +7-917-433-91-56	Октябрьский район
Fitness+, центр групповых программ	Фитнес-клубы | Обучение танцам | Центры йоги | ВУМ гимнастика для женщин | Детские / подростковые клубы	г. Уфа	Октября проспект, 132/3	https://vk.com/club21180549	 +7 (347) 266-47-20; +7-927-236-47-20	Октябрьский район
Своими ногами, театр танца	Обучение танцам | Театральные курсы	г. Уфа	Верхнеторговая площадь, 1		 +7-917-755-52-49	Кировский район
Абсолютный мир, центр танца и развития	Обучение танцам | Детские / подростковые клубы | Фитнес-клубы | Театральные курсы | Студии загара	г. Уфа	50 лет СССР, 48/1	https://vk.com/absolutmir	 +7 (347) 298-88-98	Октябрьский район
DiDance, студия танцев для взрослых и детей	Обучение танцам	г. Уфа	Ростовская, 18 лит Е	https://vk.com/didance_studio	 +7-962-520-15-15	Октябрьский район
Царь горы, центр раннего развития	Центры раннего развития детей | Частные детские сады | Услуги логопеда | Обучение танцам	г. Уфа	Бакалинская, 33	https://vk.com/tzargory_ru	 +7 (347) 286-33-23; +7-937-363-33-23	Кировский район
PEOPLE FITNESS, фитнес-клуб	Фитнес-клубы | Тренажёрные залы | Центры йоги | Обучение танцам | Студии загара	г. Уфа	Кольцевая, 65 к3	https://vk.com/pplfitness	 +7 (347) 294-54-24	Орджоникидзевский район
Top Kids, детский центр раннего развития	Центры раннего развития детей | Обучение танцам | Услуги логопеда | Языковые школы | Детские / подростковые клубы	г. Уфа	Бакалинская, 19		 +7 (347) 266-97-22; +7-927-236-97-22	Кировский район
Точка, танцевальная мастерская	Обучение танцам	г. Уфа	Коммунистическая, 14	https://vk.com/club74615525	 +7 (347) 216-48-86; +7-927-338-14-46	Ленинский район
Shafali, центр йоги и массажа	Центры йоги | Услуги массажиста | Обучение танцам	г. Уфа	Октября проспект, 6	https://vk.com/yogashafali	 +7 (347) 223-93-08; +7-917-423-55-20	Советский район
Fithouse, студия фитнеса и диетологии	Фитнес-клубы | Обучение танцам | Спортивные секции	г. Уфа	Владивостокская, 10	https://vk.com/fithouse_ufa	 +7 (347) 294-91-19	Советский район
E-Dance Studio, центр танцевального искусства	Обучение танцам | Творческие коллективы	г. Уфа	Рихарда Зорге, 75	https://vk.com/edanceufa	 +7 (347) 214-90-17	Октябрьский район
Fitnessa, фитнес-клуб для женщин	Фитнес-клубы | Обучение танцам | Тренажёрные залы	г. Уфа	Калинина, 20	https://vk.com/fitnessaclub	 +7 (347) 266-75-26; +7-927-236-75-26	Орджоникидзевский район
БИМИГУТ, детский клуб	Детские игровые залы / Игротеки | Центры раннего развития детей | Организация и проведение праздников | Обучение танцам | Организация и проведение квестов	г. Уфа	Георгия Мушникова, 28	https://vk.com/bimigut	 +7 (347) 246-52-54	Калининский район
